ID,Name,Type 1,Type 2,HP,Attack,Defense,Special Attack,Special Defense,Speed,Total,Rarity
384,Rayquaza,Dragon,Flying,105,150,90,150,90,95,680,Legendary
384,RayquazaMega Rayquaza,Dragon,Flying,105,180,100,180,100,115,780,Legendary
385,Jirachi,Steel,Psychic,100,100,100,100,100,100,600,Mythical
386,DeoxysAttack Forme,Psychic,,50,180,20,180,20,150,600,Mythical
386,DeoxysDefense Forme,Psychic,,50,70,160,70,160,90,600,Mythical
386,DeoxysNormal Forme,Psychic,,50,150,50,150,50,150,600,Mythical
386,DeoxysSpeed Forme,Psychic,,50,95,90,95,90,180,600,Mythical
387,Turtwig,Grass,,55,68,64,45,55,31,318,Uncommon
388,Grotle,Grass,,75,89,85,55,65,36,405,Uncommon
389,Torterra,Grass,Ground,95,109,105,75,85,56,525,Uncommon
390,Chimchar,Fire,,44,58,44,58,44,61,309,Uncommon
391,Monferno,Fire,Fighting,64,78,52,78,52,81,405,Uncommon
392,Infernape,Fire,Fighting,76,104,71,104,71,108,534,Uncommon
393,Piplup,Water,,53,51,53,61,56,40,314,Uncommon
394,Prinplup,Water,,64,66,68,81,76,50,405,Uncommon
395,Empoleon,Water,Steel,84,86,88,111,101,60,530,Uncommon
396,Starly,Normal,Flying,40,55,30,30,30,60,245,Common
397,Staravia,Normal,Flying,55,75,50,40,40,80,340,Common
398,Staraptor,Normal,Flying,85,120,70,50,60,100,485,Common
399,Bidoof,Normal,,59,45,40,35,40,31,250,Common
400,Bibarel,Normal,Water,79,85,60,55,60,71,410,Common
401,Kricketot,Bug,,37,25,41,25,41,25,194,Common
402,Kricketune,Bug,,77,85,51,55,51,65,384,Common
403,Shinx,Electric,,45,65,34,40,34,45,263,Uncommon
404,Luxio,Electric,,60,85,49,60,49,60,363,Uncommon
405,Luxray,Electric,,80,120,79,95,79,70,523,Uncommon
406,Budew,Grass,Poison,40,30,35,50,70,55,280,Common
407,Roserade,Grass,Poison,60,70,65,125,105,90,515,Common
408,Cranidos,Rock,,67,125,40,30,30,58,350,Common
409,Rampardos,Rock,,97,165,60,65,50,58,495,Common
410,Shieldon,Rock,Steel,30,42,118,42,88,30,350,Common
411,Bastiodon,Rock,Steel,60,52,168,47,138,30,495,Common
412,Burmy,Bug,,40,29,45,29,45,36,224,Common
413,WormadamPlant Cloak,Bug,Grass,60,59,85,79,105,36,424,Common
413,WormadamSandy Cloak,Bug,Ground,60,79,105,59,85,36,424,Common
413,WormadamTrash Cloak,Bug,Steel,60,69,95,69,95,36,424,Common
414,Mothim,Bug,Flying,70,94,50,94,50,66,424,Common
415,Combee,Bug,Flying,30,30,42,30,42,70,244,Common
416,Vespiquen,Bug,Flying,70,80,102,80,102,40,474,Common
417,Pachirisu,Electric,,60,45,70,45,90,95,405,Uncommon
418,Buizel,Water,,55,65,35,60,30,85,330,Uncommon
419,Floatzel,Water,,85,105,55,85,50,115,495,Uncommon
420,Cherubi,Grass,,45,35,45,62,53,35,275,Common
421,Cherrim,Grass,,70,60,70,87,78,85,450,Common
422,Shellos,Water,,76,48,48,57,62,34,325,Common
423,Gastrodon,Water,Ground,111,83,68,92,82,39,475,Common
424,Ambipom,Normal,,75,100,66,60,66,115,482,Common
425,Drifloon,Ghost,Flying,90,50,34,60,44,70,348,Common
426,Drifblim,Ghost,Flying,150,80,44,90,54,80,498,Common
427,Buneary,Normal,,55,66,44,44,56,85,350,Uncommon
428,Lopunny,Normal,,65,76,84,54,96,105,480,Uncommon
428,LopunnyMega Lopunny,Normal,Fighting,65,136,94,54,96,135,580,Uncommon
429,Mismagius,Ghost,,60,60,60,105,105,105,495,Common
430,Honchkrow,Dark,Flying,100,125,52,105,52,71,505,Common
431,Glameow,Normal,,49,55,42,42,37,85,310,Common
432,Purugly,Normal,,71,82,64,64,59,112,452,Common
433,Chingling,Psychic,,45,30,50,65,50,45,285,Common
434,Stunky,Poison,Dark,63,63,47,41,41,74,329,Common
435,Skuntank,Poison,Dark,103,93,67,71,61,84,479,Common
436,Bronzor,Steel,Psychic,57,24,86,24,86,23,300,Common
437,Bronzong,Steel,Psychic,67,89,116,79,116,33,500,Common
438,Bonsly,Rock,,50,80,95,10,45,10,290,Common
439,Mime Jr.,Psychic,Fairy,20,25,45,70,90,60,310,Common
440,Happiny,Normal,,100,5,5,15,65,30,220,Common
441,Chatot,Normal,Flying,76,65,45,92,42,91,411,Common
442,Spiritomb,Ghost,Dark,50,92,108,92,108,35,485,Uncommon
443,Gible,Dragon,Ground,58,70,45,40,45,42,300,Rare
444,Gabite,Dragon,Ground,68,90,65,50,55,82,410,Rare
445,Garchomp,Dragon,Ground,108,130,95,80,85,102,600,Rare
445,GarchompMega Garchomp,Dragon,Ground,108,170,115,120,95,92,700,Rare
446,Munchlax,Normal,,135,85,40,40,85,5,390,Common
447,Riolu,Fighting,,40,70,40,35,40,60,285,Rare
448,Lucario,Fighting,Steel,70,110,70,115,70,90,525,Rare
448,LucarioMega Lucario,Fighting,Steel,70,145,88,140,70,112,625,Rare
449,Hippopotas,Ground,,68,72,78,38,42,32,330,Common
450,Hippowdon,Ground,,108,112,118,68,72,47,525,Common
451,Skorupi,Poison,Bug,40,50,90,30,55,65,330,Common
452,Drapion,Poison,Dark,70,90,110,60,75,95,500,Common
453,Croagunk,Poison,Fighting,48,61,40,61,40,50,300,Common
454,Toxicroak,Poison,Fighting,83,106,65,86,65,85,490,Common
455,Carnivine,Grass,,74,100,72,90,72,46,454,Common
456,Finneon,Water,,49,49,56,49,61,66,330,Common
457,Lumineon,Water,,69,69,76,69,86,91,460,Common
458,Mantyke,Water,Flying,45,20,50,60,120,50,345,Common
459,Snover,Grass,Ice,60,62,50,62,60,40,334,Common
460,Abomasnow,Grass,Ice,90,92,75,92,85,60,494,Common
460,AbomasnowMega Abomasnow,Grass,Ice,90,132,105,132,105,30,594,Common
461,Weavile,Dark,Ice,70,120,65,45,85,125,510,Common
462,Magnezone,Electric,Steel,70,70,115,130,90,60,535,Common
463,Lickilicky,Normal,,110,85,95,80,95,50,515,Common
464,Rhyperior,Ground,Rock,115,140,130,55,55,40,535,Common
465,Tangrowth,Grass,,100,100,125,110,50,50,535,Common
466,Electivire,Electric,,75,123,67,95,85,95,540,Common
467,Magmortar,Fire,,75,95,67,125,95,83,540,Common
468,Togekiss,Fairy,Flying,85,50,95,120,115,80,545,Common
469,Yanmega,Bug,Flying,86,76,86,116,56,95,515,Common
470,Leafeon,Grass,,65,110,130,60,65,95,525,Rare
471,Glaceon,Ice,,65,60,110,130,95,65,525,Rare
472,Gliscor,Ground,Flying,75,95,125,45,75,95,510,Common
473,Mamoswine,Ice,Ground,110,130,80,70,60,80,530,Common
474,Porygon-Z,Normal,,85,80,70,135,75,90,535,Uncommon
475,Gallade,Psychic,Fighting,68,125,65,65,115,80,518,Uncommon
475,GalladeMega Gallade,Psychic,Fighting,68,165,95,65,115,110,618,Uncommon
476,Probopass,Rock,Steel,60,55,145,75,150,40,525,Common
477,Dusknoir,Ghost,,45,100,135,65,135,45,525,Common
478,Froslass,Ice,Ghost,70,80,70,80,70,110,480,Common
479,Rotom,Electric,Ghost,50,50,77,95,77,91,440,Rare
479,RotomFan Rotom,Electric,Flying,50,65,107,105,107,86,520,Rare
479,RotomFrost Rotom,Electric,Ice,50,65,107,105,107,86,520,Rare
479,RotomHeat Rotom,Electric,Fire,50,65,107,105,107,86,520,Rare
479,RotomMow Rotom,Electric,Grass,50,65,107,105,107,86,520,Rare
479,RotomWash Rotom,Electric,Water,50,65,107,105,107,86,520,Rare
480,Uxie,Psychic,,75,75,130,75,130,95,580,Legendary
481,Mesprit,Psychic,,80,105,105,105,105,80,580,Legendary
482,Azelf,Psychic,,75,125,70,125,70,115,580,Legendary
483,Dialga,Steel,Dragon,100,120,120,150,100,90,680,Legendary
484,Palkia,Water,Dragon,90,120,100,150,120,100,680,Legendary
485,Heatran,Fire,Steel,91,90,106,130,106,77,600,Legendary
486,Regigigas,Normal,,110,160,110,80,110,100,670,Legendary
487,GiratinaAltered Forme,Ghost,Dragon,150,100,120,100,120,90,680,Legendary
487,GiratinaOrigin Forme,Ghost,Dragon,150,120,100,120,100,90,680,Legendary
488,Cresselia,Psychic,,120,70,120,75,130,85,600,Mythical
489,Phione,Water,,80,80,80,80,80,80,480,Mythical
490,Manaphy,Water,,100,100,100,100,100,100,600,Mythical
491,Darkrai,Dark,,70,90,90,135,90,125,600,Mythical
492,ShayminLand Forme,Grass,,100,100,100,100,100,100,600,Mythical
492,ShayminSky Forme,Grass,Flying,100,103,75,120,75,127,600,Mythical
493,Arceus,Normal,,120,120,120,120,120,120,720,Mythical
494,Victini,Psychic,Fire,100,100,100,100,100,100,600,Mythical
495,Snivy,Grass,,45,45,55,45,55,63,308,Uncommon
496,Servine,Grass,,60,60,75,60,75,83,413,Uncommon
497,Serperior,Grass,,75,75,95,75,95,113,528,Uncommon
498,Tepig,Fire,,65,63,45,45,45,45,308,Uncommon
499,Pignite,Fire,Fighting,90,93,55,70,55,55,418,Uncommon
500,Emboar,Fire,Fighting,110,123,65,100,65,65,528,Uncommon
501,Oshawott,Water,,55,55,45,63,45,45,308,Uncommon
502,Dewott,Water,,75,75,60,83,60,60,413,Uncommon
503,Samurott,Water,,95,100,85,108,70,70,528,Uncommon
504,Patrat,Normal,,45,55,39,35,39,42,255,Common
505,Watchog,Normal,,60,85,69,60,69,77,420,Common
506,Lillipup,Normal,,45,60,45,25,45,55,275,Common
507,Herdier,Normal,,65,80,65,35,65,60,370,Common
508,Stoutland,Normal,,85,110,90,45,90,80,500,Common
509,Purrloin,Dark,,41,50,37,50,37,66,281,Common
510,Liepard,Dark,,64,88,50,88,50,106,446,Common
511,Pansage,Grass,,50,53,48,53,48,64,316,Common
512,Simisage,Grass,,75,98,63,98,63,101,498,Common
513,Pansear,Fire,,50,53,48,53,48,64,316,Common
514,Simisear,Fire,,75,98,63,98,63,101,498,Common
515,Panpour,Water,,50,53,48,53,48,64,316,Common
516,Simipour,Water,,75,98,63,98,63,101,498,Common
517,Munna,Psychic,,76,25,45,67,55,24,292,Rare
518,Musharna,Psychic,,116,55,85,107,95,29,487,Rare
519,Pidove,Normal,Flying,50,55,50,36,30,43,264,Common
520,Tranquill,Normal,Flying,62,77,62,50,42,65,358,Common
521,Unfezant,Normal,Flying,80,115,80,65,55,93,488,Common
522,Blitzle,Electric,,45,60,32,50,32,76,295,Uncommon
523,Zebstrika,Electric,,75,100,63,80,63,116,497,Uncommon
524,Roggenrola,Rock,,55,75,85,25,25,15,280,Common
525,Boldore,Rock,,70,105,105,50,40,20,390,Common
526,Gigalith,Rock,,85,135,130,60,80,25,515,Common
527,Woobat,Psychic,Flying,55,45,43,55,43,72,313,Common
528,Swoobat,Psychic,Flying,67,57,55,77,55,114,425,Common
529,Drilbur,Ground,,60,85,40,30,45,68,328,Common
530,Excadrill,Ground,Steel,110,135,60,50,65,88,508,Common
531,Audino,Normal,,103,60,86,60,86,50,445,Rare
531,AudinoMega Audino,Normal,Fairy,103,60,126,80,126,50,545,Rare
532,Timburr,Fighting,,75,80,55,25,35,35,305,Common
533,Gurdurr,Fighting,,85,105,85,40,50,40,405,Common
534,Conkeldurr,Fighting,,105,140,95,55,65,45,505,Common
535,Tympole,Water,,50,50,40,50,40,64,294,Common
536,Palpitoad,Water,Ground,75,65,55,65,55,69,384,Common
537,Seismitoad,Water,Ground,105,95,75,85,75,74,509,Common
538,Throh,Fighting,,120,100,85,30,85,45,465,Common
539,Sawk,Fighting,,75,125,75,30,75,85,465,Common
540,Sewaddle,Bug,Grass,45,53,70,40,60,42,310,Common
541,Swadloon,Bug,Grass,55,63,90,50,80,42,380,Common
542,Leavanny,Bug,Grass,75,103,80,70,80,92,500,Common
543,Venipede,Bug,Poison,30,45,59,30,39,57,260,Uncommon
544,Whirlipede,Bug,Poison,40,55,99,40,79,47,360,Uncommon
545,Scolipede,Bug,Poison,60,100,89,55,69,112,485,Uncommon
546,Cottonee,Grass,Fairy,40,27,60,37,50,66,280,Common
547,Whimsicott,Grass,Fairy,60,67,85,77,75,116,480,Common
548,Petilil,Grass,,45,35,50,70,50,30,280,Common
549,Lilligant,Grass,,70,60,75,110,75,90,480,Common
550,Basculin,Water,,70,92,65,80,55,98,460,Common
551,Sandile,Ground,Dark,50,72,35,35,35,65,292,Common
552,Krokorok,Ground,Dark,60,82,45,45,45,74,351,Common
553,Krookodile,Ground,Dark,95,117,80,65,70,92,519,Common
554,Darumaka,Fire,,70,90,45,15,45,50,315,Common
555,DarmanitanStandard Mode,Fire,,105,140,55,30,55,95,480,Common
555,DarmanitanZen Mode,Fire,Psychic,105,30,105,140,105,55,540,Common
556,Maractus,Grass,,75,86,67,106,67,60,461,Common
557,Dwebble,Bug,Rock,50,65,85,35,35,55,325,Common
558,Crustle,Bug,Rock,70,95,125,65,75,45,475,Common
559,Scraggy,Dark,Fighting,50,75,70,35,70,48,348,Common
560,Scrafty,Dark,Fighting,65,90,115,45,115,58,488,Common
561,Sigilyph,Psychic,Flying,72,58,80,103,80,97,490,Common
562,Yamask,Ghost,,38,30,85,55,65,30,303,Common
563,Cofagrigus,Ghost,,58,50,145,95,105,30,483,Common
564,Tirtouga,Water,Rock,54,78,103,53,45,22,355,Common
565,Carracosta,Water,Rock,74,108,133,83,65,32,495,Common
566,Archen,Rock,Flying,55,112,45,74,45,70,401,Common
567,Archeops,Rock,Flying,75,140,65,112,65,110,567,Common
568,Trubbish,Poison,,50,50,62,40,62,65,329,Common
569,Garbodor,Poison,,80,95,82,60,82,75,474,Common
570,Zorua,Dark,,40,65,40,80,40,65,330,Rare
571,Zoroark,Dark,,60,105,60,120,60,105,510,Rare
572,Minccino,Normal,,55,50,40,40,40,75,300,Uncommon
573,Cinccino,Normal,,75,95,60,65,60,115,470,Uncommon
574,Gothita,Psychic,,45,30,50,55,65,45,290,Common
575,Gothorita,Psychic,,60,45,70,75,85,55,390,Common
576,Gothitelle,Psychic,,70,55,95,95,110,65,490,Common
577,Solosis,Psychic,,45,30,40,105,50,20,290,Common
578,Duosion,Psychic,,65,40,50,125,60,30,370,Common
579,Reuniclus,Psychic,,110,65,75,125,85,30,490,Common
580,Ducklett,Water,Flying,62,44,50,44,50,55,305,Common
581,Swanna,Water,Flying,75,87,63,87,63,98,473,Common
582,Vanillite,Ice,,36,50,50,65,60,44,305,Common
583,Vanillish,Ice,,51,65,65,80,75,59,395,Common
584,Vanilluxe,Ice,,71,95,85,110,95,79,535,Common
585,Deerling,Normal,Grass,60,60,50,40,50,75,335,Common
586,Sawsbuck,Normal,Grass,80,100,70,60,70,95,475,Common
587,Emolga,Electric,Flying,55,75,60,75,60,103,428,Uncommon
588,Karrablast,Bug,,50,75,45,40,45,60,315,Common
589,Escavalier,Bug,Steel,70,135,105,60,105,20,495,Common
590,Foongus,Grass,Poison,69,55,45,55,55,15,294,Common
591,Amoonguss,Grass,Poison,114,85,70,85,80,30,464,Common
592,Frillish,Water,Ghost,55,40,50,65,85,40,335,Common
593,Jellicent,Water,Ghost,100,60,70,85,105,60,480,Common
594,Alomomola,Water,,165,75,80,40,45,65,470,Common
595,Joltik,Bug,Electric,50,47,50,57,50,65,319,Common
596,Galvantula,Bug,Electric,70,77,60,97,60,108,472,Common
597,Ferroseed,Grass,Steel,44,50,91,24,86,10,305,Common
598,Ferrothorn,Grass,Steel,74,94,131,54,116,20,489,Common
599,Klink,Steel,,40,55,70,45,60,30,300,Common
600,Klang,Steel,,60,80,95,70,85,50,440,Common
601,Klinklang,Steel,,60,100,115,70,85,90,520,Common
602,Tynamo,Electric,,35,55,40,45,40,60,275,Common
603,Eelektrik,Electric,,65,85,70,75,70,40,405,Common
604,Eelektross,Electric,,85,115,80,105,80,50,515,Common
605,Elgyem,Psychic,,55,55,55,85,55,30,335,Common
606,Beheeyem,Psychic,,75,75,75,125,95,40,485,Common
607,Litwick,Ghost,Fire,50,30,55,65,55,20,275,Common
608,Lampent,Ghost,Fire,60,40,60,95,60,55,370,Common
609,Chandelure,Ghost,Fire,60,55,90,145,90,80,520,Common
610,Axew,Dragon,,46,87,60,30,40,57,320,Rare
611,Fraxure,Dragon,,66,117,70,40,50,67,410,Rare
612,Haxorus,Dragon,,76,147,90,60,70,97,540,Rare
613,Cubchoo,Ice,,55,70,40,60,40,40,305,Common
614,Beartic,Ice,,95,110,80,70,80,50,485,Common
615,Cryogonal,Ice,,70,50,30,95,135,105,485,Common
616,Shelmet,Bug,,50,40,85,40,65,25,305,Common
617,Accelgor,Bug,,80,70,40,100,60,145,495,Common
618,Stunfisk,Ground,Electric,109,66,84,81,99,32,471,Common
619,Mienfoo,Fighting,,45,85,50,55,50,65,350,Uncommon
620,Mienshao,Fighting,,65,125,60,95,60,105,510,Uncommon
621,Druddigon,Dragon,,77,120,90,60,90,48,485,Common
622,Golett,Ground,Ghost,59,74,50,35,50,35,303,Common
623,Golurk,Ground,Ghost,89,124,80,55,80,55,483,Common
624,Pawniard,Dark,Steel,45,85,70,40,40,60,340,Common
625,Bisharp,Dark,Steel,65,125,100,60,70,70,490,Common
626,Bouffalant,Normal,,95,110,95,40,95,55,490,Common
627,Rufflet,Normal,Flying,70,83,50,37,50,60,350,Common
628,Braviary,Normal,Flying,100,123,75,57,75,80,510,Common
629,Vullaby,Dark,Flying,70,55,75,45,65,60,370,Common
630,Mandibuzz,Dark,Flying,110,65,105,55,95,80,510,Common
631,Heatmor,Fire,,85,97,66,105,66,65,484,Common
632,Durant,Bug,Steel,58,109,112,48,48,109,484,Common
633,Deino,Dark,Dragon,52,65,50,45,50,38,300,Rare
634,Zweilous,Dark,Dragon,72,85,70,65,70,58,420,Rare
635,Hydreigon,Dark,Dragon,92,105,90,125,90,98,600,Rare
636,Larvesta,Bug,Fire,55,85,55,50,55,60,360,Rare
637,Volcarona,Bug,Fire,85,60,65,135,105,100,550,Rare
638,Cobalion,Steel,Fighting,91,90,129,90,72,108,580,Legendary
639,Terrakion,Rock,Fighting,91,129,90,72,90,108,580,Legendary
640,Virizion,Grass,Fighting,91,90,72,90,129,108,580,Legendary
641,TornadusIncarnate Forme,Flying,,79,115,70,125,80,111,580,Legendary
641,TornadusTherian Forme,Flying,,79,100,80,110,90,121,580,Legendary
642,ThundurusIncarnate Forme,Electric,Flying,79,115,70,125,80,111,580,Legendary
642,ThundurusTherian Forme,Electric,Flying,79,105,70,145,80,101,580,Legendary
643,Reshiram,Dragon,Fire,100,120,100,150,120,90,680,Legendary
644,Zekrom,Dragon,Electric,100,150,120,120,100,90,680,Legendary
645,LandorusIncarnate Forme,Ground,Flying,89,125,90,115,80,101,600,Legendary
645,LandorusTherian Forme,Ground,Flying,89,145,90,105,80,91,600,Legendary
646,Kyurem,Dragon,Ice,125,130,90,130,90,95,660,Legendary
646,KyuremBlack Kyurem,Dragon,Ice,125,170,100,120,90,95,700,Legendary
646,KyuremWhite Kyurem,Dragon,Ice,125,120,90,170,100,95,700,Legendary
647,KeldeoOrdinary Forme,Water,Fighting,91,72,90,129,90,108,580,Mythical
647,KeldeoResolute Forme,Water,Fighting,91,72,90,129,90,108,580,Mythical
648,MeloettaAria Forme,Normal,Psychic,100,77,77,128,128,90,600,Mythical
648,MeloettaPirouette Forme,Normal,Fighting,100,128,90,77,77,128,600,Mythical
649,Genesect,Bug,Steel,71,120,95,120,95,99,600,Mythical
650,Chespin,Grass,,56,61,65,48,45,38,313,Uncommon
651,Quilladin,Grass,,61,78,95,56,58,57,405,Uncommon
652,Chesnaught,Grass,Fighting,88,107,122,74,75,64,530,Uncommon
653,Fennekin,Fire,,40,45,40,62,60,60,307,Uncommon
654,Braixen,Fire,,59,59,58,90,70,73,409,Uncommon
655,Delphox,Fire,Psychic,75,69,72,114,100,104,534,Uncommon
656,Froakie,Water,,41,56,40,62,44,71,314,Uncommon
657,Frogadier,Water,,54,63,52,83,56,97,405,Uncommon
658,Greninja,Water,Dark,72,95,67,103,71,122,530,Uncommon
659,Bunnelby,Normal,,38,36,38,32,36,57,237,Common
660,Diggersby,Normal,Ground,85,56,77,50,77,78,423,Common
661,Fletchling,Normal,Flying,45,50,43,40,38,62,278,Common
662,Fletchinder,Fire,Flying,62,73,55,56,52,84,382,Common
663,Talonflame,Fire,Flying,78,81,71,74,69,126,499,Common
664,Scatterbug,Bug,,38,35,40,27,25,35,200,Common
665,Spewpa,Bug,,45,22,60,27,30,29,213,Common
666,Vivillon,Bug,Flying,80,52,50,90,50,89,411,Common
667,Litleo,Fire,Normal,62,50,58,73,54,72,369,Common
668,Pyroar,Fire,Normal,86,68,72,109,66,106,507,Common
669,Flabébé,Fairy,,44,38,39,61,79,42,303,Common
670,Floette,Fairy,,54,45,47,75,98,52,371,Common
671,Florges,Fairy,,78,65,68,112,154,75,552,Common
672,Skiddo,Grass,,66,65,48,62,57,52,350,Common
673,Gogoat,Grass,,123,100,62,97,81,68,531,Common
674,Pancham,Fighting,,67,82,62,46,48,43,348,Uncommon
675,Pangoro,Fighting,Dark,95,124,78,69,71,58,495,Uncommon
676,Furfrou,Normal,,75,80,60,65,90,102,472,Common
677,Espurr,Psychic,,62,48,54,63,60,68,355,Uncommon
678,MeowsticFemale,Psychic,,74,48,76,83,81,104,466,Uncommon
678,MeowsticMale,Psychic,,74,48,76,83,81,104,466,Uncommon
679,Honedge,Steel,Ghost,45,80,100,35,37,28,325,Common
680,Doublade,Steel,Ghost,59,110,150,45,49,35,448,Common
681,AegislashBlade Forme,Steel,Ghost,60,150,50,150,50,60,520,Common
681,AegislashShield Forme,Steel,Ghost,60,50,150,50,150,60,520,Common
682,Spritzee,Fairy,,78,52,60,63,65,23,341,Common
683,Aromatisse,Fairy,,101,72,72,99,89,29,462,Common
684,Swirlix,Fairy,,62,48,66,59,57,49,341,Common
685,Slurpuff,Fairy,,82,80,86,85,75,72,480,Common
686,Inkay,Dark,Psychic,53,54,53,37,46,45,288,Common
687,Malamar,Dark,Psychic,86,92,88,68,75,73,482,Common
688,Binacle,Rock,Water,42,52,67,39,56,50,306,Common
689,Barbaracle,Rock,Water,72,105,115,54,86,68,500,Common
690,Skrelp,Poison,Water,50,60,60,60,60,30,320,Common
691,Dragalge,Poison,Dragon,65,75,90,97,123,44,494,Common
692,Clauncher,Water,,50,53,62,58,63,44,330,Common
693,Clawitzer,Water,,71,73,88,120,89,59,500,Common
694,Helioptile,Electric,Normal,44,38,33,61,43,70,289,Common
695,Heliolisk,Electric,Normal,62,55,52,109,94,109,481,Common
696,Tyrunt,Rock,Dragon,58,89,77,45,45,48,362,Common
697,Tyrantrum,Rock,Dragon,82,121,119,69,59,71,521,Common
698,Amaura,Rock,Ice,77,59,50,67,63,46,362,Common
699,Aurorus,Rock,Ice,123,77,72,99,92,58,521,Common
700,Sylveon,Fairy,,95,65,65,110,130,60,525,Rare
701,Hawlucha,Fighting,Flying,78,92,75,74,63,118,500,Uncommon
702,Dedenne,Electric,Fairy,67,58,57,81,67,101,431,Uncommon
703,Carbink,Rock,Fairy,50,50,150,50,150,50,500,Common
704,Goomy,Dragon,,45,50,35,55,75,40,300,Rare
705,Sliggoo,Dragon,,68,75,53,83,113,60,452,Rare
706,Goodra,Dragon,,90,100,70,110,150,80,600,Rare
707,Klefki,Steel,Fairy,57,80,91,80,87,75,470,Common
708,Phantump,Ghost,Grass,43,70,48,50,60,38,309,Common
709,Trevenant,Ghost,Grass,85,110,76,65,82,56,474,Common
710,PumpkabooAverage Size,Ghost,Grass,49,66,70,44,55,51,335,Common
710,PumpkabooLarge Size,Ghost,Grass,54,66,70,44,55,46,335,Common
710,PumpkabooSmall Size,Ghost,Grass,44,66,70,44,55,56,335,Common
710,PumpkabooSuper Size,Ghost,Grass,59,66,70,44,55,41,335,Common
711,GourgeistAverage Size,Ghost,Grass,65,90,122,58,75,84,494,Common
711,GourgeistLarge Size,Ghost,Grass,75,95,122,58,75,69,494,Common
711,GourgeistSmall Size,Ghost,Grass,55,85,122,58,75,99,494,Common
711,GourgeistSuper Size,Ghost,Grass,85,100,122,58,75,54,494,Common
712,Bergmite,Ice,,55,69,85,32,35,28,304,Common
713,Avalugg,Ice,,95,117,184,44,46,28,514,Common
714,Noibat,Flying,Dragon,40,30,35,45,40,55,245,Rare
715,Noivern,Flying,Dragon,85,70,80,97,80,123,535,Rare
716,Xerneas,Fairy,,126,131,95,131,98,99,680,Legendary
717,Yveltal,Dark,Flying,126,131,95,131,98,99,680,Legendary
718,Zygarde50% Forme,Dragon,Ground,108,100,121,81,95,95,600,Legendary
719,Diancie,Rock,Fairy,50,100,150,100,150,50,600,Mythical
719,DiancieMega Diancie,Rock,Fairy,50,160,110,160,110,110,700,Mythical
720,HoopaHoopa Confined,Psychic,Ghost,80,110,60,150,130,70,600,Mythical
720,HoopaHoopa Unbound,Psychic,Dark,80,160,60,170,130,80,680,Mythical
721,Volcanion,Fire,Water,80,110,120,130,90,70,600,Mythical
722,Rowlet,Grass,Flying,68,55,55,50,50,42,320,Uncommon
723,Dartrix,Grass,Flying,78,75,75,70,70,52,420,Uncommon
724,Decidueye,Grass,Ghost,78,107,75,100,100,70,530,Uncommon
725,Liten,Fire,,45,65,40,60,40,70,320,Uncommon
726,Torracat,Fire,,65,85,50,80,50,90,420,Uncommon
727,Incineroar,Fire,Dark,95,115,90,80,90,60,530,Uncommon
728,Popplio,Water,,50,54,54,66,56,40,320,Uncommon
729,Brione,Water,,60,69,69,91,81,50,420,Uncommon
730,Primarina,Water,Fairy,80,74,74,126,116,60,530,Uncommon
731,Pikipek,Normal,Flying,35,75,30,30,30,65,265,Common
732,Trumbeak,Normal,Flying,55,85,50,40,50,75,355,Common
733,Toucannon,Normal,Flying,80,120,75,75,75,60,485,Common
734,Yungoos,Normal,,48,70,30,30,30,45,253,Common
735,Gumshoos,Normal,,88,110,60,55,60,45,418,Common
736,Grubbin,Bug,,47,62,45,55,45,46,300,Common
737,Charjabug,Bug,Eletric,57,82,95,55,75,36,400,Common
738,Vikavolt,Bug,Eletric,77,70,90,145,75,43,500,Common
739,Crabrawler,Figthing,,47,82,57,42,47,63,338,Common
740,Crabominable,Fighting,Ice,97,132,77,62,67,43,478,Common
741,Oricorio Baile Style,Fire,Flying,75,70,70,98,70,93,476,Common
741,Oricorio Pa'u Style,Psychic,Flying,75,70,70,98,70,93,476,Common
741,Oricorio Pom-Pom Style,Electric,Flying,75,70,70,98,70,93,476,Common
741,Oricorio Sensu Style,Ghost,Flying,75,70,70,98,70,93,476,Common
742,Cutiefly,Bug,Fairy,40,45,40,55,40,84,304,Common
743,Ribombee,Bug,Fairy,60,55,60,95,70,124,464,Common
744,Rockruff,Rock,,45,65,40,30,40,60,280,Rare
745,Lycanroc Midday Form,Rock,,75,115,65,55,65,112,487,Rare
746,Wishiwashi School Form,Water,,45,140,130,140,135,30,620,Common
746,Wishiwashi Solo Form,Water,,45,20,20,25,25,40,175,Common
746,Lycanroc Midnight Form,Rock,,85,115,75,55,75,82,487,Rare
747,Mareanie,Poison,Water,50,53,62,43,52,45,305,Common
748,Toxapex,Poison,Water,50,53,62,43,52,45,305,Common
749,Mudbray,Ground,,70,100,70,45,55,45,385,Common
750,Mudsdale,Ground,,100,125,100,55,85,35,500,Common
751,Dewpider,Water,Bug,38,40,52,40,72,27,269,Common
752,Araquanid,Water,Bug,68,70,92,50,132,42,454,Common
753,Fomantis,Grass,,40,55,35,50,35,35,250,Uncommon
754,Lurantis,Grass,,70,105,90,80,90,45,480,Uncommon
755,Morelull,Grass,Fairy,40,35,55,65,75,15,285,Common
756,Shiinotic,Grass,Fairy,60,45,80,90,100,30,405,Common
757,Salandit,Poison,Fire,48,44,40,71,40,77,320,Uncommon
758,Salazzle,Poison,Fire,68,64,60,111,60,117,480,Uncommon
